product_id,review_body,product_category
0511189877,"We had an old Time Warner Cable remote that was dropped into a bucket of dirty mop water.  We dried it out and it seemed to work &#34;fine&#34; except for the few times one of the batteries began to sizzle and smoke and became hotter than anything I had ever felt before and literally burned a hole in our couch upholstery.  Needless to say, this remote, the CLIKR-5, is awesome, easily programmed, and works perfectly with our TWC equipment and all the other A/V components.  I love this remote... great product.  (Probably goes without saying, but just in case, you don't get the TWC logo on it.)",Electronics
0511189877,It is an exact duplicate of my Time warner remote.I bought it so my wife could control the TV from her chair and not ask me to do it every time.It works great.I would reccomend it to anyone.,Electronics
0511189877,Works just like the rental unit supplied by the cable company.  In fact it is identical.  Just what I was looking for.,Electronics
0511189877,Exactly like what I had and wanted. Works great so far,Electronics
0511189877,This remote was easy to program and operates all the features on Time Warner including On Demand. My TV is a Samsung and it took about 5 minutes. Be sure to write down your codes for future reference!,Electronics
0511189877,"Just like the one from the cable company, but without the $3 monthly billing!",Electronics
0511189877,Came but you have to press on the buttons hard for it to work,Electronics
0511189877,"As others said: works as well or better than original. If you've lost or broken yours, or if like mine some of the buttons just stopped responding, this is a great replacement - especially at this price.",Electronics
0528881469,"This is a great truck GPS. I've tried others and nothing seems to come close to the Rand McNally TND-700.    Excellent screen size and resolution. The audio is loud enough to be heard over road noise and the purr of my Kenworth/Cat engine. I've used it for the last 8,000 miles or so and it has only glitched once. Just restarted it and it picked up on my route right where it should have. The exit lane screen has been spot on every time and gives me plenty of time to get my rig into the appropriate lane safely. I also love the multi-stop route planning and use it a lot. Updated regularly, it has shown me all the construction zones and has a feature to allow me to detour around them. Creating Groups and storing locations in them is a breeze so I can separate warehouse from store locations, etc.    I'm running an HP Pavilion laptop with Windows 7 OS for the dock and update. The USB port DOES charge the GPS, at least with my laptop, despite the warning in a previous review. Even if it didn't, the supplied 12-volt and AC chargers take care of getting the battery up to speed.    My complaints are relatively minor:    Battery life when it is unplugged isn't great. However, since I use it plugged in in the cab 95% of the time, it doesn't create too much of a problem.    The announcement of state borders coming up is nice but it doesn't tell you (or show you on the map display) what state you are in and/or going into. Again, a minor issue because I know where I am but all my other GPS units had this feature. For $500 smackers, I don't expect this kind of slip-up.    There is a Micro SD slot on the unit and I bought a card for it. Unfortunately, the manual has absolutely no information on using it. The only reference is on the page showing the physical features of the unit, showing the position of the slot. Annoying.    Clean up the minor issues and this unit rates a solid 5.    [[ASIN:0528881469 Rand McNally 528881469 7-inch Intelliroute TND 700 Truck GPS]]",Electronics
0528881469,"I did a lot of comparison shopping and decided to buy the Rand McNally 7\\"" GPS.  Has better graphics than Cobra 7\\"".  It does have lane assist which is important when in large metro areas and need to be in correct lane for exits, etc Atlanta, GA.  I have read some of the negative comments written earlier and I do not have those problems.  Sure, sometimes it does not give the fastest or the simplest route but it has never sent me down a non truck route like all the prior gps i have had in the past.  I am a car carrier so I set truck size at 13' 8\\"" and it has kept me from going down roads with 13'6\\"" bridges.  The only negative comment I have is that it constantly changes map views from city to county to state way to often.  Other than this, I love the fact that:                                                  1) it shows mileage to destination, arrival time (which you can change to time left),                                2) shows the city, county and state you are current located (how often we truck drivers pull over at a rest area or truck stop and wonder what city we are located).                                                                     3) large 7\\"" color screen for easy viewing and screen changes automatically for night time driving                                                                                   4) list truck poi and non truck poi (wish Rand McNally had a feature that would let us send them an update for poi, maybe when we get at a Loves that use to be a Pilot, just tap on the screen and edit info, then when I connect gps to computer for weekly update the map will get updated.                                                                5) able to update construction info by linking gps to computer and get updates given to Rand McNally by the states.  Unfortunately like usual  the states are mostly behind on updates given to Rand McNally.  This is where we the consumer should have the ability to tap screen and make corrections and send it to Rand McNally.  Many times I have gone into areas that it said \\""Construction Ahead\\"" and no construction is being done because it has been completed.                                                                                                  6)  speed limits of highways and Interstates and shows your current speed just below it (also shows truck speed limits in red) Still the states have to report these limits to Rand McNally and as usual they are slow on reporting.  But still most of the time 95% it is correct.                                                        7)  great truckers tools like driving hours left.  It automatically changes to driving when truck has moved for more than 1 mile and changes to off duty if it is idle for 15 minutes.  It lets you know when you have 1 hour left to drive and that driving time has expired. You reset every day manually.  Also have total hours worked for day and hours left to work for the week. You will have to manually override this sometimes because it doesn't distinguish off duty and on duty hours well, you have to manually tell it you are on duty.  I just manually configure at the end of the day.  The important one is driving hours and end of the week hours.                                                                             8)  service reminders for your perimeters you set, such as 8000 and 16000 services.  You reset manually when completed.                                                                                                       9)  able to set many multiple stops set and ability to add more stops in route                                  10) loud enough to hear spoken text to speech street names over engine noise (and believe me my truck is loud)       11) ability to save your own poi (I do it all the time)                                                             12) it tells you when you are 3 miles from approaching a weight station (you can configure it up to 5 miles)        13) ittells you when you are 1 mile from state border and tells you when you cross border and what state you are in.                                                                                                                14) it tells you all mileage you driven that day and mileage by state and mileage by day.  saves info for 1 year.   Overall, this is definitely a truckers friend and I absolutely love this GPS.  A definite must buy.",Electronics
0528881469,"I have owned two Rand McNally GPS devices over the last two years. Buyer beware! They are pieces of junk. The software is great, but the hardware does not last. The first GPS lasted a year. I spent another $400, that one lasted about 14 months. If you don't mind spending $400 a year for a GPS buy one. Otherwise do not buy it it is the worst and most expensive piece of junk I have ever bought. I still use my original GARMIN I purchased in 2006.",Electronics
0528881469,"We had the GPS for quite a while with a minimal amount of problems.  The plug in port bent but Rand McNally replaced it.  We puchased the new TND720 and gave the TND700 to our driver.  Well, our ex driver - he was technologically challenged and let the until hang off the dash on a trip from KY to TX. When I told him to secure it to the dash, he threw it in the storage department above the dash, thus the ex employee,<br /><br />I highly recommend the Rand McNally.  Rand McNally provides an excellent product and excellent support.",Electronics
0528881469,"Thought the unit was going to be a good unit, but was I wrong very wrong. The unit has a bad probleum with the 12 volty pulg in. They replaced the unit once in 6 months and the second unit last about 8 months before it started giving me trouble, but would they stand behind it NO NO NO. They said it had been over a year since I had bought the first unit so it was not covered.  The person I talked with at the Tec centered knew very well what I was talking about. If I made something that cost as much and made claims of how great a unit it was I would stand behind it and if I knew of probleums with the 12 plug in I would come up with a fix.  So take your chances if you buy one from Rand McNally hope it last for you but I have my doughts. Have a friend this last week his started have the same probleum so I told him he had better send it in.",Electronics
0528881469,"We got this GPS for my husband who is an (OTR) over the road trucker.  Very Impressed with the shipping time, it arrived a few days earlier than expected...  within a week of use however it started freezing up... could of just been a glitch in that unit.  Worked great when it worked!  Will work great for the normal person as well but does have the \\""trucker\\"" option. (the big truck routes - tells you when a scale is coming up ect...)  Love the bigger screen, the ease of use, the ease of putting addresses into memory.  Nothing really bad to say about the unit with the exception of it freezing which is probably one in a million and that's just my luck.  I contacted the seller and within minutes of my email I received a email back with instructions for an exchange! VERY impressed all the way around!",Electronics
0528881469,I bought this product to use primarily for work. I log 3200+ mile a week and thought this would be a good to tool to have. I love the graphics. There were a few times that it routed me thru some residential areas and a couple of times I wondered if a truck was even legal at all. I loved the feature where I could see if there was a truck stop or rest area close by though it does not have them all. My main concern or problem with this device is in the charging port. The unit get to hot at this port. I went thru 3 12vlt chargers and 1 house wall charger. eventually the plug in had got to the point of being brittle and fell apart. I talk to Rand McNally about this they sent me 1 12 volt charger. But I had to pay for the rest and if I wanted them to look at it I would have to pay shipping out of my pocket. I have a problem with that because I paid so much for it to start. I had it about 2 mos. when it started having problems. I had it 10 mos. when it finally became useless and I thrrew it away. I replaced it with the rand Mcnally 510. It's a whole different animal with a whole lot more problems and will be taken back today.,Electronics
0528881469,"DONT WAIST YOUR MONEY ON THIS PRODUCT MY CELL PHONE GIVES ME BETTER DIRECTIONS AND FASTER ROUTES TO MY DESTINATION EVEN THOUGH ITS MAINLY A CAR ROUTE. RAND MCNALLY TND 700 HAS GOTTEN ME IN SEVERAL TIGHT SPOTS INCLUDING NON TRUCK ROUTES THAT I HAD TO BACK UP MY TRACTOR TRAILER IN THE MIDDLE OF DOWNTOWN CHARLOTTE.   THIS PRODUCT ALSO CANNOT READ MAPS CORRECTLY. IT HAS TOLD ME TO MAKE U TURNS AND GO SOUTH FOR 3 MILES TO CATCH A BY PASS ROUTE TO GET ON I 95  WHEN ALL I HAD TO DO WAS CONTINUE STRAIGHT FOR ABOUT 800 FEET AND MAKE A LEFT TO THE I95 ON RAMP.     THE LIST GOES ON AND ON. AND IHAVE TRIED TO CONTACT AMAZON SO THAT I CAN RETURN THIS PRODUCT AS IT REALLY SUCKS. NOW ITS FEATURES LIKE MILEAGE TRACKING BY STATE AND DAY TRAVELED ITS GREAT, BUT WHAT GOOD ARE ITS FEATURES WHEN YOU CANT GET TO YOUR DESTINATION ON TIME OR GET LOST BY THE SAME INSTRUMENT THAT IS SUPPOSED TO ELIMINATE JUST THAT.",Electronics
0594296420,This is a must for the Barnes and Noble Simple Touch Ereader.,Electronics
0594296420,"I bought this item to replace the original charger that I'd lost. think is pricey and I was disappointed when I noticed the box only had the adapter, as the original box had both the plug and adapter. Don't buy just by the picture displayed, make sure to read the description. I am still missing the USB cable",Electronics
0594296420,"now i can charge my nook anywhere, no need for pc. a touch pricey at about $10, but i'm happy.",Electronics
0594296420,Love my Nook Charger... rapid charging,Electronics
0594296420,"Works perfectly with the nook hd+. Charged it up from dead to full in just a couple hours. Sucks that you have to use the special charger and cable for the nook, but this is a good cheap solution for the one it is replacing.",Electronics
0594296420,great,Electronics
0594296420,Good product.,Electronics
0594296420,Works as expected.,Electronics
